name,address,city,postal,phone,website,email
Noel Booth Child Care,20202 35Th Ave,Langley,V2Z 1A2,(604) 218-6506,,
Nurture & Grow Learning Center,24497 Fraser Hwy,Langley,V2Z 2L2,(604) 779-1424,,
Nurturing Hearts Montessori Daycare - James Hill,22144 Old Yale Rd,Langley,V2Z 1B5,(778) 366-1885,,
Nurturing Hearts Montessori Daycare - Newlands,21025 48 Ave,Langley,V3A 3M3,(604) 533-1805,,
Parkview Academy Of Early Learning Inc.,20955 Old Yale Rd,Langley,V3A 7P8,(778) 689-6721,,
Pathway Montessori Children's Center,9025 Glover Rd,Langley,V1M 2R7,(604) 644-7547,,
Pebbles And Piaget Early Learning Walnut Grove,9451 202Nd St,Langley,V1M 3Y9,(778) 919-3797,,
Peregrine House School,20381 66 Ave,Langley,V2Y 1P3,(778) 378-0551,,
Piggy Ooo's Daycare Centre,5700 Langley Bypass,Langley,V3A 8L7,(604) 562-8985,,
Rainforest Learning Centre Inc. – Langley,5100 206 St,Langley,V3A 2E5,(604) 514-1566,,
Royal Academy Langley,6656 Glover Rd,Langley,V2Y 0W9,(778) 233-8811,,
Secret Heart Academy,110&112-5769 201A St,Langley,V3A 8H9,(604) 427-1166,,
Simply Kids Childcare Centre,20211 66Th Ave,Langley,V2Y 0L4,(604) 593-2266,,
Smilestones Junior Kindergarten - Langley,150-8661 201 St,Langley,V2Y 0G9,(604) 888-8085,,
"Sonshine Street Childcare Centre, Aldergrove",24687 56Th Ave,Langley,V2Z 1B9,(604) 309-7364,,
Sportsplex Daycare,100 20165 91A Ave,Langley,V1M 3A2,(604) 882-1611,,
St. Joseph's Church Preschool & Out Of School Care Program,20244  32Nd Ave,Langley,V2Z 2E1,(604) 530-4288,,
Strawberry Patch Child Care Centre Inc.,23422  47 Ave,Langley,V2Z 2S3,(604) 514-3150,,
Strongsteps Children's Learning Centre,200-8912 202 St,Langley,V1M 4A7,(778) 960-2273,,
Sunbeam Preschool & Childcare,21277 56 Ave,Langley,V2Y 1M3,(778) 777-2054,,
Sunflower Montessori,21150  85Th Ave,Langley,V1M 2M4,(604) 513-0070,,
Taylin Child Care - Fort Langley,9160 Church St,Langley,V1M 2R6,(604) 349-4066,,
The King's Early Learning Centre,21783 76B Ave,Langley,V2Y 2S5,(604) 888-0969,,
Tiny Hoppers Early Learning Langley City Centre,20570 56 Ave,Langley,V3A 3Z1,(778) 689-7799,,
Tiny Hoppers Early Learning Willoughby Centre,A230-20689 Willoughby Town Centre Dr,Langley,V2Y 0X7,(778) 705-0569,,
Tiny Timbers Children's Academy Ltd.,6323 197 St,Langley,V2Y 1K8,(877) 657-1741,,
Top Tier School Age Care,21713 50 Ave,Langley,V3A 3T2,(604) 612-1593,,
Tumble Kids Preschool,7888 200 St,Langley,V2Y 3J4,(604) 455-8908,,
Twinkle Kids Academy,21084 83A Ave,Langley,V2Y 0B8,(778) 990-0316,,
Weegrow Early Learning Centre,20505 76A Ave,Langley,V2Y 3T1,(604) 989-8077,,
Willoughby Early Learning Daycare Corp.,21155 80A Ave,Langley,V2Y 0K3,(604) 779-1783,,
Willowbrook Montessori Daycare - Gordon Campus,20317 67Th Ave,Langley,V2Y 1P6,(604) 533-5469,,
Willowbrook Montessori Daycare - Latimer Campus,8157 198A Street,Langley,V2Y 1Y6,(604) 753-7276,,
Wise Owl Early Learning,4471 207A St,Langley,V3A 5V8,(780) 504-7860,,
Wonder Years Day Care - Fraser Crossing,5537 209 St,Langley,V3A 2K8,(604) 530-6554,,
Woodpecker Infant Toddler Care,8482 214A St,Langley,V1M 2K6,(236) 990-1366,,
Aldergrove Daycare Centre,26770 29 Ave,Aldergrove,V4W 3B8,(604) 856-3724,,
Curious Kids Children's Center,27233 29A Ave,Aldergrove,V4W 3J7,(604) 857-0194,,
Green Tree Montessori Children's Centre,26489 Fraser Hwy,Aldergrove,V4W 3E2,(604) 625-4733,,
Growing With Smiles Childhood Center Ltd.,27185 Fraser Hwy,Aldergrove,V4W 3R1,(236) 380-3772,,
Maple Leaf Montessori Children's Centre,3440 271B St,Aldergrove,V4W 3H3,(604) 351-8953,,
Mommy's Daycare,26994 26 Ave,Aldergrove,V4W 4A4,(604) 857-9640,,
Secret Heart Academy Aldergrove,27595 Fraser Hwy,Aldergrove,V4W 3P9,(778) 385-4034,,
Starlight Learning Centre (Fraser Hwy),27336 Fraser Hwy,Aldergrove,V4W 3N5,(604) 607-0463,,
The Patch Kids Place Inc.,5370 248 St,Aldergrove,V4W 1A7,(604) 626-4547,,
2 Learn N' Play Early Learning Centre Inc,108 - 11018 126A St,Surrey,V3V 0G1,(604) 803-1078,,
5 Corners Day Care,13620 Grosvenor Rd,Surrey,V3R 5C9,(604) 496-5050,,
5 Stars Day Care Centre,14443 58 Ave,Surrey,V3S 1Y3,(604) 543-8972,,
A & Z Daycare Ltd.,14242 61A Ave,Surrey,V3X 0E5,(604) 512-0289,,
A To Z Childcare Centre,8613 162 St,Surrey,V4N 1A9,(604) 719-6736,,
A To Z Childcare Centre #2,16128 86B Ave,Surrey,V4N 1B1,(604) 598-9251,,
Abc Kids World Learning Centre Surrey,13648 Grosvenor Rd,Surrey,V3R 5C9,(604) 897-6655,,
Absorbent Minds Montessori School,101-5961 168 St,Surrey,V3S 3X5,(604) 372-4600,,
Academics Prekindergarten,15300 Croydon Dr,Surrey,V3S 0Z5,(778) 294-2646,,
Aim Smart Childcare Centre,7153 King George Blvd,Surrey,V3W 5A4,(778) 513-7153,,
Alexandra Neighbourhood House Children's Centre At Pacific H,17148 26 Ave,Surrey,V3Z 0A4,(604) 535-0015,,
Alexandra Neighbourhood House Children's Centre At Sunnyside,2828 159 St,Surrey,V3Z 0E5,(779) 239-2514,,
All Is Well Childcare,9927 132 St,Surrey,V3T 3S9,(604) 588-5722,,
Alphablocks Childcare,13711 63B Ave,Surrey,V3X 3J7,(604) 783-5983,,
Aurostar Montessori Children Centre,1693 142 St,Surrey,V4A 6K6,(604) 998-7821,,
B Kids Daycare,3060 148Th St,Surrey,V4P 0G8,(778) 998-5437,,
B&D Montessori Learning Academy,1-2119 152 St,Surrey,V4A 4N7,(236) 513-8723,,
Baby Acorns,17399 2Nd Ave,Surrey,V3S 6R9,(778) 871-3043,,
Beacon House,8181 168A St,Surrey,V4N 5K6,(604) 441-3900,,
Beyond School Inc,6-15531 24 Ave,Surrey,V4A 2J4,(604) 773-7597,,
Bolivar Heights Early Learning Centre,11286 Roxburgh Rd,Surrey,V3R 9J3,(604) 951-4700,,
Bonny Castle Children's Center - 3,10706 148 St,Surrey,V3R 3X6,(778) 889-8472,,
Bridges Childcare And Learning Centre - Applewood,19109 59 Ave,Surrey,V3S 7M9,(778) 384-9353,,
Bright Cross Learning Center,13639 108 Ave,Surrey,V3T 2K4,(778) 789-8222,,
Bright Light Learning Centre,8383 140 St,Surrey,V3W 5K9,(778) 318-6486,,
Bright Rainbow Child Care,"Unit A,C,D - 6235 136Th St",Surrey,V3X 1H3,(604) 590-6771,,
Bright Stars Childcare,16390 82 Ave,Surrey,V4N 0N8,(604) 710-9437,,
Brightstart Children's Academy,101-17610 65A Ave,Surrey,V3S 5N4,(416) 938-8024,,
Cambridge Learning Centre Inc,14898 Spencer Dr,Surrey,V3S 7K7,(604) 655-5005,,
Cambridge Learning Centres @ Mj Norris Elementry,12928 66A St,Surrey,V3W 8Z7,(604) 897-8553,,
Caterpillar Fun House #1,101-9868 120 St,Surrey,V3V 4C9,(604) 589-0009,,
Cedar Grove Childcare Centre,10330 144 St,Surrey,V3T 4V3,(604) 584-2311,,
Central City Garden Daycare,9970 Semiahmoo Rd,Surrey,V3T 3M7,(604) 879-9939,,
Champions Child Care,7114 148Th St,Surrey,V3S 3E5,(604) 218-5563,,
Charming Child Daycare Center,10046 156 St,Surrey,V3R 4L5,(604) 889-5736,,
Cheery Star Daycare Center,10307 158A St,Surrey,V4N 2M5,(778) 385-3529,,
Child's View Childrens' Centre,1577 128 St,Surrey,V4A 3V1,(778) 888-0739,,
Chimney Hill Out Of School Care Program,14755 74Th Avenue,Surrey,V3S 8Y8,(604) 816-2253,,
Cloverdale Village Early Learning Centre,5855 176A St,Surrey,V3S 4H6,(672) 999-0380,,
Creative Beginnings Child Care Center,6878 142 St,Surrey,V3W 5M9,(778) 565-1291,,
Creative Clubhouse Childcare Inc,12642 100 Ave,Surrey,V3V 2X7,(778) 938-4889,,
Creative Explorer's Daycare,4  13570  78Th Ave,Surrey,V3W 8V3,(604) 725-7071,,
Creative Kids Learning Centers - Willowbrook,19543 Fraser Hwy,Surrey,V3S 6K7,(604) 560-5002,,
Creative Moments Childcare Centre,102-7015 128 St,Surrey,V3W 4E1,(604) 417-1135,,
Creative Path Daycare 02,8681 150 St,Surrey,V3S 5G1,(778) 707-6579,,
Creek Angels Daycare Inc.,14006 92Nd Ave,Surrey,V3V 1J5,(236) 978-1424,,
Crescent Heights Academy Child Care-Cloverdale,17465 60 Ave,Surrey,V3S 1T9,(604) 427-2282,,
Cribs To Crayons Daycare Ltd - Surrey,12469 104 Ave,Surrey,V3V 6A2,(604) 537-3444,,
Cyrus Childcare Centre,14672 108A Ave,Surrey,V3R 1W7,(604) 500-6291,,
Dasmesh Childcare Centre Ltd,13802 Franklin Rd,Surrey,V3R 5K9,(604) 700-6137,,
David Brankin Pre-K,9160 128Th St,Surrey,V3V 5M8,(604) 598-7965,,
Daycare For Multiple Intelligences,17209 62A Ave,Surrey,V3S 6V6,(778) 871-7145,,
Douglas Out Of School Care Program,17325 2Nd Ave,Surrey,V3S 9P9,(604) 434-9101,,
Edgewood Elementary School,16666 23Rd Ave,Surrey,V3S 9X8,(604) 590-7801,,
Edgewood Home After School,16715 22A Ave,Surrey,V3Z 0M7,(778) 683-3166,,
Edgewood Park Child Care Centre,16736 22A Ave,Surrey,V3Z 0M7,(778) 319-6866,,
Evershine Childcare Centre,6939 127A St,Surrey,V3W 0V4,(604) 543-8686,,
Fela Play And Learn Childcare,13545 64A Ave,Surrey,V3W 9H6,(604) 599-5853,,
Firm Foundations Early Learning Inc.,12390 104 Ave,Surrey,V3V 3H3,(778) 838-2312,,
First Adventures Child Care Center,7515 185 St,Surrey,V4N 6C2,(778) 387-8145,,
First Choice Montessori Pre-School,201 15225 98Th Ave,Surrey,V3R 1J2,(604) 828-4451,,
Five Stars Daycare Centre Inc,6605 140 St,Surrey,V3W 5J3,(778) 891-5457,,
Fleetwood Early Learning Center,101&102-8431 160 St,Surrey,V4N 0V6,(778) 951-3352,,
Fleetwood Place Children's Centre,16011 83 Ave,Surrey,V4N 0N2,(604) 598-5437,,
Forest Friends Early Learning Center,6517 Claytonhill Grove,Surrey,V3S 7N4,(604) 831-6073,,
Fraser Glen Preschool,16293 104 Ave,Surrey,V4N 1Z7,(604) 583-4229,,
Fraser Heights Montessori Children's Centre,103-16814 104 Ave,Surrey,V4N 4L8,(604) 588-3455,,
Fraser Heights Out Of School Care/Tiny Tots Day School Prog,15783 106 Ave,Surrey,V4N 1K5,(604) 582-1335,,
Fun And Learn Day Care Centre,7811 148Th St,Surrey,V3S 3G1,(778) 990-1871,,
Fun Zone Childcare,8358 133A St,Surrey,V3W 9E3,(778) 889-0023,,
G.A.D. Childcare Centre & Preschool,13479 77 Ave,Surrey,V3W 6Y1,(604) 595-0888,,
G.N. Sikh Preschool,7050 120 St,Surrey,V3W 3M8,(778) 876-6000,,
Ga Preschool Childcare,16870 80 Ave,Surrey,V4N 5A1,(778) 872-9988,,
Giggles & Dimples Daycare Cloverdale,5681 177B St,Surrey,V3S 4J2,(604) 561-0409,,
Gobind Sarvar Childcare Center,8922 168 St,Surrey,V4N 6G7,(778) 552-4030,,
Gokidz Child Services,106 2255 King George Blvd,Surrey,V4A 5A4,(604) 910-7968,,
Goldstone Childcare Centres Inc,19160 70Th Ave,Surrey,V4N 5W6,(604) 729-0543,,
Goodwin Academy,3- 10468 Whalley Blvd,Surrey,V3T 4H5,(604) 588-2074,,
Goodwin Academy Childcare,1-10468 Whalley Blvd,Surrey,V3T 4H5,(604) 518-7531,,
Goodwin Academy Triumph Daycare Centre Inc.,4 10468 Whalley Blvd,Surrey,V3T 4H5,(604) 724-0691,,
Grandview Montessori School,16530 21A Ave,Surrey,V3Z 0V7,(778) 300-9753,,
Green Trails Montessori Daycare - Surrey,103 - 10216 128Th St,Surrey,V3T 2Z3,(250) 616-4780,,
Grow And Learn Preschool And Childcare Center Ltd,13838 91 Ave,Surrey,V3V 7K4,(604) 445-3276,,
Growing Kids Childcare Centre - Morgan Crossing,16756 19 Ave,Surrey,V3Z 1A2,(778) 318-8142,,
Guildford Childcare Centre,10553 148Th St,Surrey,V3R 3X7,(778) 386-3501,,
Guildford Gardens Daycare Inc,14921 107A Ave,Surrey,V3R 1V3,(604) 339-7052,,
Guru Nanak Child Care Centre,206-7938 128 St,Surrey,V3W 4G2,(780) 200-9242,,
Happy Bears Early Learning Centre #2,626-10833 160 St,Surrey,V4N 1P3,(778) 877-0869,,
Hazelmere Acres Preschool And Daycare,257 192 St,Surrey,V3S 9R9,(604) 536-6367,,
Helping Hands Children's Centre,9012  160Th St,Surrey,V4N 3A5,(604) 582-9700,,
Hikids Learning Center,11061 160 St,Surrey,V4N 1J2,(778) 552-8284,,
Honey Bear Childcare Ltd,14214 102 Ave,Surrey,V3T 5A5,(604) 306-4073,,
Honey Tree Daycare,8469 148A St,Surrey,V3S 7K6,(604) 599-0832,,
Hope Valley Childcare Centre,104-7093 King George Blvd,Surrey,V3W 5A2,(604) 593-8833,,
Hyland Creek Childcare,14368 66 Ave,Surrey,V3W 2B3,(604) 970-5188,,
I Kids Learning Centre,6966 195 St,Surrey,V4N 5Y6,(778) 855-1425,,
I Love Childcare,19319 67Th Ave,Surrey,V4N 1M7,(778) 681-0525,,
Inspiring Minds Childcare,Unit K 5825 136Th St,Surrey,V3X 1J2,(604) 968-3888,,
Iplay Childcare,14012 103 Ave,Surrey,V3T 1S2,(778) 384-7362,,
"Ivy League Preschool, The",7031 143 St,Surrey,V3W 0P4,(604) 726-1071,,
Junior Einstein's Academy,10787 128 St,Surrey,V3T 3A2,(604) 719-1171,,
Junior Einstein's Academy (Gateway) Ltd,13486 108Th Ave,Surrey,V3T 2K3,(604) 441-8781,,
Junior Scholars - Panorama,103-14225 57 Ave,Surrey,V3X 0H6,(604) 767-0858,,
Junior Scholars - Sullivan,101-15385 56 Ave,Surrey,V3S 0X9,(604) 372-0213,,
Just For Kids,404  9025  158Th St,Surrey,V4N 2Y6,(604) 512-9020,,
Khalsa Childcare Centre (Ksn),6933 124 St,Surrey,V3W 3W6,(604) 897-0954,,
Kid Spot Surrey,102-17720 57 Ave,Surrey,V3S 1H2,(778) 829-9051,,
Kid's Castle Group Day Care,9422 156 St,Surrey,V3R 5Z2,(604) 580-0411,,
Kid's Play Day Care Centre,12819 Old Yale Rd,Surrey,V3T 3A9,(604) 930-4800,,
Kiddo Town Childcare Ltd,14881 59 Ave,Surrey,V3S 4S6,(780) 246-1450,,
Kids - Inn #1,7430  140 St,Surrey,V3W 5J7,(604) 591-9020,,
Kids Canvas Childcare (Surrey),9243 152Nd St,Surrey,V3R 4G1,(778) 926-5707,,
Kids First Montessori Preschool,15372 94 Ave,Surrey,V3R 1E3,(778) 895-0007,,
Kids Learning Castle Daycare 2,12430 76 Ave,Surrey,V3W 2T5,(604) 600-3310,,
Kids Zone Child Care Centre #2 Ltd,9444 120 St,Surrey,V3V 4B9,(778) 317-1789,,
Kids Zone Child Care Centre #3,9440 120Th St,Surrey,V3V 4B9,(604) 765-2075,,
Kidzrock Childcare,16718 60Th Ave,Surrey,V3S 1J8,(604) 576-0202,,
Kidzville Learning Center - Morgan Crossing,101-2388 156 St,Surrey,V4A 4V4,(604) 861-7861,,
Kin Outdoor Learning Centre,1614 184 St,Surrey,V3Z 9V2,(778) 954-8205,,
Kinderbees Early Learning Center (Surrey),110-9675 King George Blvd,Surrey,V3T 0T7,(672) 339-3318,,
Kings And Queens Child Care Centre Inc.,13508 106 Ave,Surrey,V3T 2C5,(778) 394-1291,,
Kiwi Childcare Centre,8688 162 St,Surrey,V4N 1B5,(778) 828-5494,,
La Paz Early Learning Center,3446 147A St,Surrey,V4P 0A7,(604) 910-1342,,
Lahso Child Care Infant & Toddler,14581 17 Ave,Surrey,V4A 5V8,(778) 922-1881,,
Laura Lee's Little Learning Center,6652 195 St,Surrey,V4N 0C3,(604) 533-9177,,
"Learning Circle Ocean Park Campus, The",12761 16 Ave,Surrey,V4A 1N2,(604) 245-7733,,
Les Papillons,6887 132 St,Surrey,V3W 4L9,(604) 597-1590,,
Little Berries Childcare Centre,18931 70A Ave,Surrey,V4N 5M5,(604) 889-9398,,
Little Bubz Daycare Inc,11689 99A Ave,Surrey,V3V 7K5,(778) 792-2884,,
Little Friends Children's Center #1,10808 157 St,Surrey,V4N 1C4,(778) 385-4120,,
Little Harvard Learning Centre Ltd.,6985 142 St,Surrey,V3W 5N1,(778) 893-5437,,
Little Kangaroos Early Learning Centre Ltd.,15114 82 Ave,Surrey,V3S 8M6,(604) 807-2784,,
Little Kids Kingdom,15046 68 Ave,Surrey,V3S 2B7,(778) 565-3117,,
Little Koala Montessori Surrey,14947 108 Ave,Surrey,V3R 1W3,(604) 951-4008,,
Little Nest Child Learning Centre,2561 168 St,Surrey,V3Z 0X3,(778) 814-1800,,
Little Scholars Learning Academy,104-17720 57 Ave,Surrey,V3S 1H2,(604) 372-4430,,
Little Smiles Daycare Corp - 1,8546 144Th St,Surrey,V3W 5T7,(604) 722-6364,,
Little Valley Learning Centre And Daycare,14750 108 Ave,Surrey,V3R 1V8,(778) 395-0123,,
Little Wish Childcare Centre,18932 70B,Surrey,V4N 5M6,(778) 988-7627,,
Lucky Clover Daycare Centre,17579 59 Ave,Surrey,V3S 1P3,(604) 372-3768,,
Luv Dale Childcare Centre,12953  74 Avenue,Surrey,V3W 7K7,(250) 792-9655,,
Maddaugh Elementary Osc,19405 76Th Ave,Surrey,V4N 6C6,(604) 598-7987,,
Maison Montessori Child Care,13444 Amblewood Dr,Surrey,V4A 6M3,(604) 531-2124,,
Martha Currie Out Of School Care,5811 184 St,Surrey,V3S 4N2,(604) 598-7967,,
May's Garden Childcare,9970 159A St,Surrey,V4N 2K8,(778) 839-6826,,
Meridian Centre,2040 150Th St,Surrey,V4A 8G1,(604) 592-7031,,
Mighty Cubs Childcare,15010 Ashby Pl,Surrey,V3S 5G2,(672) 515-6702,,
Milky Way Childcare Centre,9483 134 St,Surrey,V3V 5S3,(778) 707-0072,,
Mommy Goose Child Care Sullivan,1-14858 60 Ave,Surrey,V3S 0B5,(604) 314-7856,,
Monkey Ville Childcare,8365 150A St,Surrey,V3S 8H9,(604) 723-9590,,
Morgan Creek Montessori Ltd,144-3388 Rosemary Heights Cres,Surrey,V3S 0K7,(604) 535-3596,,
Morgan Point Children's Centre,3366 156A St,Surrey,V3Z 9Y7,(604) 760-6842,,
My Daycare Centre,12972 58B Ave,Surrey,V3X 0C2,(604) 780-7200,,
Natura Montessori Academy,103-3010 152 St,Surrey,V4P 3N7,(604) 596-0547,,
Nature And Nurture Academy,17672 57 Ave,Surrey,V3S 1H2,(778) 571-8801,,
Nature's Playground Daycare,17490 61B Ave,Surrey,V3S 4R8,(778) 228-9723,,
New Life Child Care Centre,8868 128 St,Surrey,V3V 5M7,(604) 590-6131,,
Newton Learning Zone Ltd,13359 81 Ave,Surrey,V3W 3C5,(778) 927-5437,,
Newton Recreation Centre,13730 72Nd Ave,Surrey,V3W 2P4,(604) 501-5530,,
Noisy Monkeys French Immersion & Language Academy,110  9093 King George Blvd,Surrey,V3V 5V7,(604) 503-5033,,
Octopus Academy Surrey,13639 104 Ave,Surrey,V3T 1W3,(604) 496-2818,,
Olio,16141 90 Ave,Surrey,V4N 3A4,(778) 235-2509,,
One Two Buckle My Shoe Childcare Inc,5660 192 St,Surrey,V3S 2V7,(778) 574-1230,,
Our Lady Of Good Counsel Child Care Facility,10504 139 St,Surrey,V3T 4L5,(604) 581-3154,,
Pacific Academy Preschool And Childcare,Rm 8 - 10238 - 168Th St,Surrey,V4N 1Z4,(604) 581-0132,,
Panorama Ridge Children's Centre,6230 120 St,Surrey,V3X 1Y7,(604) 338-2107,,
Peachy Keen Early Learning Ltd,14973 88 Ave,Surrey,V3S 2S4,(778) 954-9993,,
Pebble Lane Early Learning,16017 8 Ave,Surrey,V4A 1A1,(778) 291-3376,,
Petite Girafe Montessori Academy,15977 28 Ave,Surrey,V3Z 0E5,(604) 385-5808,,
Pinetree Childcare Centre,19083 69A Ave,Surrey,V4N 0A5,(778) 321-7819,,
Pixel Wonderland Academy,9270 163A St,Surrey,V4N 3C6,(778) 751-7866,,
Play-N-Grow Childcare Centre Inc #4,13941 94A Ave,Surrey,V3V 1N3,(604) 782-3546,,
Playbox Childcare Centre Ltd,103&104-18733 52 Ave,Surrey,V3S 8E5,(604) 754-3799,,
Power Play Early Learning,15000 54A Ave,Surrey,V3S 5X7,(604) 372-3725,,
Prematernelle La Coccinelle,6887 132 St,Surrey,V3W 4L9,(604) 599-6880,,
Rainbow Home Child Care,16597 20 Ave,Surrey,V3Z 1B9,(639) 590-3153,,
Raja Montessori Academy Ltd.,107-10928 132 St,Surrey,V3T 0R3,(780) 938-6758,,
Regent Early Learning Centre,5950 179 St,Surrey,V3S 4J9,(604) 576-6313,,
Regent Early Learning Centre - Sullivan,15100 66A Ave,Surrey,V3S 2A6,(604) 599-8171,,
Rise N Shine Childcare Center Inc.,16740 85 Ave,Surrey,V4N 4W3,(604) 779-1940,,
