name,type,owner_or_director,address,city,province,phone,email,website,source,notes
Summit Montessori,Licensed Montessori,,1565 Summit Drive,Kamloops,BC,250-828-2533,,,Web search,Phone verified
BIGS Early Learning Centre (Big Brothers Big Sisters of Northern BC),Licensed group child care,"Karrie Johnston, contact",1788 Diefenbaker Avenue,Prince George,BC,250-563-7410,karrie.johnston@bigbrothersbigsisters.ca,bigsnbc.ca,Web search,Phone + named-contact email verified
YMCA Prince George Early Learning Centre,Licensed group child care,,2020 Massey Drive,Prince George,BC,250-563-2483,nbc.ccrr@bc.ymca.ca,nbc.ymca.ca,Web search,YMCA-run; email is the CCRR shared inbox
Play & Learn Family Childcare,Licensed family child care,,,Prince George,BC,250-981-0391,,,Web search,Home-based family childcare
Snuggles & Cuddles,Licensed family child care,,,Prince George,BC,250-562-5072,,,Web search,Phone verified
The Hundred Acre Wood Child Care,Licensed group child care,,,Prince George,BC,250-617-1089,,,Web search,Phone verified
Tyke Town Early Learning,Licensed group child care,,(3 downtown locations),Prince George,BC,250-899-4546,info@tyketown.ca,tyketown.ca,WebFetch enrichment,Multi-site operator; phone + email verified
Teeter Tots Early Learning Centre,Licensed group child care,,,Prince George,BC,,,teetertots.ca,Web search,Need to fetch website for contact
Almosthome Childcare/Preschool Ltd.,Licensed group child care,,(Tillicum/Gorge + Saanichton sites),Saanich,BC,,,almosthomecare.com,Web search,Multi-site operator; serves Sooke too
Parachute Express Playschool,Licensed preschool/daycare,,,North Saanich,BC,250-655-4476,,parachuteexpressplayschool.ca,Web search,Phone verified
Kids Club Child Care Centre Abbotsford,Licensed group child care,,35190 Delair Road,Abbotsford,BC,604-556-7355,delairkidsclub@gmail.com,,Web search,Phone + email verified
ABC Childcare Abbotsford,Licensed group child care,,,Abbotsford,BC,604-854-3022,info@abcchildcarecentre.ca,abcchildcarecentre.ca,WebFetch enrichment,Phone + email verified
New Leaf Childcare Centre,Licensed group child care,,,Abbotsford,BC,604-556-6600,,,Web search,Phone verified
Open Door Daycare Preschool & Out Of School Center,Licensed group child care + OOSC,,,Abbotsford,BC,604-859-8406,,,Web search,Phone verified
Flutterby Daykare Preschool,Licensed preschool/daycare,,,Abbotsford,BC,604-855-0579,,,Web search,Phone verified
Country Meadows Day Care Society,Licensed group child care,,,Abbotsford,BC,604-853-5678,,,Web search,Phone verified
Kids Club Child Care Centre Chilliwack,Licensed group child care,,46129 Princess Avenue,Chilliwack,BC,604-795-2322,,,Web search,Same operator as Abbotsford Kids Club
Bee's Marble Hill Daycare,Licensed family/group child care,,7267 Marble Hill Road,Chilliwack,BC,604-440-5923,,,Web search,Phone verified
A Little Moore Love,Licensed family child care,,9766 Linwood Street,Chilliwack,BC,604-866-0959,,,Web search,Phone verified
Hummingbird Child Care Centre,Licensed group child care,,,Chilliwack,BC,604-824-9907,,,Web search,Phone verified
