name,address,city,postal,phone,website,email
Douglas Park Preschool,801 22Nd Ave W,Vancouver,V5Z 1Z8,604-257-8134,,
Kiwassa-Longhouse Out Of School Care Program,2595 Franklin St,Vancouver,V5K 1X5,604-254-5401,,
Brentwood Park Plus,"1455 Delta Ave, Room B",Burnaby,V5B 3G4,604-292-1290,,
Abc University Daycare,4595 8Th Ave W,Vancouver,V6R 2A4,604-228-5885,,
Nsnh - Lynn Valley Kid's Club,3361 Mountain Hwy,North Vancouver,V7K 2H4,604-987-8138,,
Park Place Out-Of-School Care,521 Fader St,New Westminster,V3L 3T4,604-540-1688,,
Playwest Kids Out-Of-School Care,1714 8 Ave,New Westminster,V3M 2S7,604-517-6078,,
Misty Meadows Out-Of-School Care,91 Courtney Cres,New Westminster,V3L 4M1,604-540-1688,,
Hilltop Hideway Out-Of-School Care,331 Richmond St,New Westminster,V3L 4B7,604-540-1688,,
Griffin's Alley-Out-Of-School Care,701 Park Cres,New Westminster,V3L 5V4,604-540-1688,,
Klub Kelvin Out-Of-School Care,1010 Hamilton St,New Westminster,V3M 2M9,604-517-6088,,
Acorn-Eight Oaks Day Care Centre,103 3637 Cambie St,Vancouver,V5Z 2X3,604-872-0022,,
St. Alban's The Martyr Day Care,7717 19Th Ave,Burnaby,V3N 1E8,604-522-6228,,
Gladwin Child Care Centre,3145 Gladwin Rd,Abbotsford,V2T 5T4,604-853-9084,,
Kensington Preschool,5175 Dumfries St,Vancouver,V5P 3A2,604-874-4231,,
Burnaby French Language Preschool,6060 Marlborough Ave,Burnaby,V5H 3L7,604-432-1323,,
Kingsway Christian Children's Centre - Clubhouse,4045 Kingsway,Burnaby,V5H 1Y9,604-437-3393,,
Kingsway Christian Children's Centre,4061 Kingsway,Burnaby,V5H 1Z1,604-437-3393,,
Hilltop Christian Child Care,6749 120 St,Delta,V4E 2A7,604-594-0910,,
New Life Child Care Centre,8868 128 St,Surrey,V3V 5M7,604-590-6131,,
Port Coquitlam Children's Centre,50-3150 Coast Meridian Rd,Port Coquitlam,V3B 5J8,604-941-9206,,
Starbright Educare Day Care,15515 104A Ave,Surrey,V3R 6W5,604-583-5756,,
Highlands Out Of School Care,3150 Colwood Dr,North Vancouver,V7R 2R6,604-985-6958,,
Our Saviour Child Care Centre,6340 No. 4 Rd,Richmond,V6Y 2S9,604-270-0085,,
Dicken's Out Of School Care,1010 17Th Ave E,Vancouver,V5V 0A6,604-875-9111,,
Beaconsfield Out Of School Care,3663 Penticton St,Vancouver,V5N 3C9,604-875-9111,,
Secord Out Of School Care,2500 Lakewood Dr,Vancouver,V5N 4V1,604-875-9111,,
Selkirk Out Of School Care,1750 22Nd Ave E,Vancouver,V5N 2P7,604-875-9111,,
Poppins Preschool,6470 Victoria Dr,Vancouver,V5P 3X7,604-875-9111,,
Queen Alexandra Out Of School Care,1300 Broadway E,Vancouver,V5N 1V6,604-875-9111,,
Gilmore Out Of School Care,8380 Elsmore Rd,Richmond,V7C 2A1,604-238-8415,,
Merry King Preschool,9180 No. 1 Rd,Richmond,V7E 6L5,604-238-8415,,
Lynn Valley Parent Participation Preschool,3220 Mountain Highway,North Vancouver,V7K 2H5,604-985-5512,,
Our Lady Of Perpetual Help Junior Kindergarten,2550 Camosun St,Vancouver,V6R 3W6,604-221-0002,,
Pomme D'api Preschool,2190 E 44,Vancouver,V5P 1N2,604-877-1122,,
St. Casimir's Day Care Centre,4255 Inverness Str,Vancouver,V5V 4W9,604-876-1156,,
Kitsilano Area Childcare Centre,2041 6Th Ave W,Vancouver,V6J 1R8,604-732-6327,,
Child's World Preschool,9020 Williams Rd,Richmond,V7A 1G9,604-238-8063,,
South Arm Out Of School Care #1,8880 Williams Rd,Richmond,V7A 1G6,604-238-8078,,
Preschool Camps,8880 Williams Rd,Richmond,V7A 1G6,604-238-8063,,
Creative Minds Early Learning Centre,5351 Camosun St,Vancouver,V6N 2C4,604-263-4711,,
Sunshine Hills Parent Participation,6750 Carncross Cres,Delta,V4E 2L5,604-596-2515,,
Brighouse Junior Kindergarten,8151 Bennett Rd,Richmond,V6Y 1N4,604-312-3352,,
Children's House Montessori Preschool,1563 Regan Ave,Coquitlam,V3J 3B7,604-931-1311,,
Village Day Care,3290 Ganymede Dr,Burnaby,V3J 1A4,604-421-3064,,
Tiggy Winkle Corner Preschool,2690 Larch St,Vancouver,V6K 4K9,604-257-6976,,
Nelson Avenue Daycare,5825 Nelson Ave,Burnaby,V5H 3H6,604-439-9263,,
Maple Ridge Adventure Preschool,21698 Dewdney Trunk Road,Maple Ridge,V2X 3G7,604-463-4903,,
Killarney Park Preschool,6426 Kerr Str,Vancouver,V5S 3C1,604-435-7455,,
Deep Cove Parent Participation Preschool,1204 Caledonia Ave,North Vancouver,V7G 2A6,778-834-3321,,
Carnarvon Community Group Child Care,3350 Balaclava St,Vancouver,V6L 2S6,604-731-7007,,
Shaughnessy Heights Early Learning Centre,1550 33Rd Ave W,Vancouver,V6M 1A7,604-261-6711,,
Dunbar Memorial Preschool,4747 Dunbar St,Vancouver,V6S 2H2,604-218-3840,,
Spare Time Bobolink,2421 Scarboro Ave,Vancouver,V6P 2L5,604-325-1010,,
Spare Time Challenge Club,6901 Elliott St,Vancouver,V5S 2N1,604-325-1010,,
Spare Time Clubhouse,4251 Ontario St,Vancouver,V5V 3G8,604-875-1818,,
Spare Time Ii,7350 Laurel St,Vancouver,V6P 3T9,604-325-1010,,
False Creek Out Of School Care,1318 Cartwright St,Vancouver,V6H 3R8,604-257-6998,,
Swamp Willow Preschool,1318 Cartwright St,Vancouver,V6H 3R8,604-257-6998,,
Community Montessori Children's Centre,1461 19 Ave E,Vancouver,V5N 2H9,604-874-4622,,
Stepping Stone Preschool,7284 Cypress St,Vancouver,V6P 5M3,604-765-4505,,
Dunbar-Queen Elizabeth Group Child Care,4102 16Th Ave W,Vancouver,V6R 3E3,604-224-1125,,
Family Montessori School,1099 Sitka Sq,Vancouver,V6H 3P8,604-224-2643,,
Helping Hands Children's Centre,9012  160Th St,Surrey,V4N 3A5,604-582-9700,,
Beehive Christian Early Learning,8255 13 Ave,Burnaby,V3N 2G6,604-521-6601,,
Queen's Park Preschool,"Centennial Lodge, Queens Pk.",New Westminster,V3M 6W6,604-526-1153,,
Little Neighbours Nursery School,155 Finnigan St,Coquitlam,V3K 5J2,604-521-5158,,
Chipmunk Achievers Preschool,20025 91A Ave,Langley,V1M 3A2,604-888-5022,,
Pied Piper Preschool,8757 Armstrong Ave,Burnaby,V3N 2H8,604-524-0833,,
Trimble Group Child Care (School Age),2000 Trimble St,Vancouver,V6R 3Z4,604-224-1131,,
Tenth Avenue Alliance Wee Care Day Care Centre,11 10Th Ave W,Vancouver,V5Y 1R5,604-876-3723,,
Trinity Baptist Day Care,1460 West 49Th Ave,Vancouver,V6M 2R5,604-264-1192,,
Vancouver Child Study Centre,949 49Th Ave W,Vancouver,V5Z 2T1,604-222-1943,,
Franklin Community Preschool,250 Skeena St,Vancouver,V5K 4N8,604-291-9310,,
University Hill Kinderclub (School Age),5395 Chancellor Boulevard,Vancouver,V6T 1E2,604-222-0700,,
Sunset Early Learning Day Program,6810 Main St,Vancouver,V5X 0A1,604-718-6512,,
Jcc B'raysheet Toddler Daycare,950 41 Ave W,Vancouver,V5Z 2N7,604-257-5162,,
Jcc Shalom Out Of School Care,950 41 Ave W,Vancouver,V5Z 2N7,604-257-5162,,
Happy Days Playschool,489 Mundy St,Coquitlam,V3K 5N2,604-936-0722,,
Sunbeam Preschool & Childcare,21277 56 Ave,Langley,V2Y 1M3,778-777-2054,,
Gilmore Preschool,50 Gilmore Ave,Burnaby,V5C 4P5,604-618-4333,,
Peardonville House Day Care,825 Peardonville Rd,Abbotsford,V4X 2L8,604-864-0039,,
Hillview Parent Participation Preschool,4340 Carson St,Burnaby,V5J 2X9,604-431-0119,,
St. James Day Care Center,3214 10Th Ave W,Vancouver,V6K 2L2,604-733-1821,,
The Children's Centre At Gateway,10840 133A St,Surrey,V3T 4A6,604-581-5853,,
Elite Montessori Academy,101-3641 29Th Ave W,Vancouver,V6S 1T5,604-221-0242,,
Immaculate Heart Early Childhood Education Centre,789 Alderson Ave,Coquitlam,V3K 1T9,604-939-3682,,
Tempe Tots Daycare,2870 Munday Pl,North Vancouver,V7N 4L2,604-985-3783,,
Madison Children's Centre,4397 Buchanan St,Burnaby,V5C 3X7,604-526-2522,,
Kilmer Children's Centre Inc.,1592 Knappen St,Port Coquitlam,V3C 4S9,604-941-2644,,
Abbotsford Childcare,2054 Cherry St,Abbotsford,V2S 3S6,604-612-0439,,
Futurekids Daycare Centre,600 Fairview St,Coquitlam,V3J 4A7,604-720-2287,,
Honey Tree Daycare,8469 148A St,Surrey,V3S 7K6,604-599-0832,,
Tiny Town Childcare Centre,5747 Gilpin St,Burnaby,V5G 2J1,604-433-6110,,
Birchland Tree House Play Care Ltd.,1331 Fraser Ave,Port Coquitlam,V3B 7H5,604-945-0002,,
Funshine Daycare Center,2864 mccoomb Dr,Coquitlam,V3B 6B3,604-464-6442,,
Wonder Years Day Care - Fraser Crossing,5537 209 St,Langley,V3A 2K8,604-530-6554,,
Kids Club Child Care Centre Ltd. (Gladwin),3845 Gladwin Rd,Abbotsford,V2S 7A1,604-852-2822,,
Kids Club Child Care Centre Ltd. (Mcmillan Rd),3130 mcmillan Rd,Abbotsford,V2S 6A8,604-852-6606,,
Kids Club Child Care Centre Ltd. (Delair Road),35190 Delair Rd,Abbotsford,V3G 2E2,604-556-7355,,
Three Bears Centre,9887 Cameron St,Burnaby,V3J 1M3,604-444-3302,,
Absorbent Minds Montessori Ltd.,7283 Nelson Ave,Burnaby,V5J 4C2,604-433-2144,,
Toy Box Early Childhhood Centre,6062 132 St,Surrey,V3X 1M8,604-512-0406,,
Green Planet Daycare,2435 Lobb Ave,Port Coquitlam,V3C 6B9,604-941-3039,,
Whalley Day Care Ltd.,10562  132 A St,Surrey,V3T 3X7,604-581-0237,,
Whalley Learning Centre And Child Care,10563  133 St,Surrey,V3T 3Z2,604-581-0237,,
All-Day Children's Workshop,4501 Highland Blvd,North Vancouver,V7R 3A2,604-986-5597,,
Fraser Valley Montessori Preschool Sandy Hill Campus,3836 Old Clayburn Rd,Abbotsford,V3G 2Z5,604-859-5061,,
All Is Well Childcare,9927 132 St,Surrey,V3T 3S9,604-588-5722,,
Burnaby Lakeview Early Learning Centre,7777 Mayfield St,Burnaby,V5E 2J5,604-522-5515,,
Fraser Glen Preschool,16293 104 Ave,Surrey,V4N 1Z7,604-583-4229,,
"Lonsdale Preschool, Harry Jerome Complex",125 23Rd St E,North Vancouver,V7L 3E2,604-983-6510,,
Delbrook Preschool,851 Queens Rd W,North Vancouver,V7N 4E3,604-983-6510,,
Sandpiper Preschool,3590 Mountain Hwy,North Vancouver,V7K 0A2,604-983-6510,,
Astro Tots Learning Center Ltd.,2211 Prairie Ave,Port Coquitlam,V3B 1V8,604-803-5428,,
Westside Montessori School (2011) Ltd.,4157 Oak St,Vancouver,V6H 2N1,604-731-6594,,
Upper Lonsdale Preschool,3380 Lonsdale Ave,North Vancouver,V7N 3K2,604-988-8710,,
Happy Corner Parent Participation Preschool,3434 Falaise Ave,Vancouver,V5M 4C1,604-433-7923,,
Pioneer Daycare Center,8711 Cambie Rd,Richmond,V6X 1K2,604-278-8212,,
St. Francis Of Assisi Preschool,2025 Napier St,Vancouver,V5L 2N8,604-253-7311,,
Aldergrove Daycare Centre,26770 29 Ave,Aldergrove,V4W 3B8,604-856-3724,,
Kids Care Preschool,7715 Muirfield Dr,Vancouver,V5S 2L5,604-325-5213,,
Kids - Inn #1,7430  140 St,Surrey,V3W 5J7,604-591-9020,,
Parkland Players,1563 Regan Ave,Coquitlam,V3J 3B7,604-936-7005,,
Bright Angels Childrens Centre,14219 88Th Ave,Surrey,V3W 3L5,604-599-1943,,
Braun-Tasaurus Preschool,2087 Majestic Cres,Abbotsford,V2T 3E9,604-854-5963,,
Dharma Kids Centre,3821 Piper Ave,Burnaby,V5A 3B2,604-420-2604,,
Kids Link Out Of School Care,7502  2Nd St,Burnaby,V3N 3R5,604-889-1092,,
Neverland Children's Centre,3900 Arthur Dr,Delta,V4K 3N5,604-940-4131,,
Wibble Wobble Childcare - Fairfield,46326 Strathcona Rd,Chilliwack,V2P 3T3,604-793-9300,,
Bethany Child Care Centre,22680 Westminster Hwy,Richmond,V6V 1B7,604-519-0133,,
The Briar Patch Child Care Centre,7012 Vedder Rd,Chilliwack,V2R 4E1,604-858-2307,,
Delta Funtime Out Of School Care,9316 116 St,Delta,V4C 5W9,604-584-5452,,
Rainforest Learning Centre Inc. – Langley,5100 206 St,Langley,V3A 2E5,604-514-1566,,
Hi And Bye Daycare,411 Schoolhouse St,Coquitlam,V3K 4Y7,604-318-9469,,
Parkcrest Children's Centre,6040 Winch St,Burnaby,V5B 2L2,604-294-6224,,
Westwood Montessori,1438 Pinetree Way,Coquitlam,V3E 2T6,604-765-0966,,
Seaview Child Care Centre,14633 16 Ave,Surrey,V4A 1R4,604-536-5772,,
Chilliwack Landing Preschool,620 Wellington Ave,Chilliwack,V2P 6H7,604-792-5337,,
Rompers Preschool,5151 Granville Ave,Richmond,V7C 1E6,604-238-8497,,
Panda Bear Children's Place On Falcon,1198 Falcon Dr,Coquitlam,V3E 2M4,604-862-1302,,
Bee House Montessori Day Care I,7283 Nelson Ave,Burnaby,V5J 4C2,604-433-9769,,
Early Inquirers Preschool Ltd.,3175 Thompson Pl,West Vancouver,V7V 3E3,604-926-6836,,
Sweet Peas Cottage Creekside,250  400 Brooksbank Ave,North Vancouver,V7J 2C2,604-988-9989,,
3 Wishes Childcare Centre,22365 Callighan Ave,Maple Ridge,V2X 2E3,604-467-2941,,
Once Upon A Time... Child Care Centre Inc.,7256 Richardson Ave,Chilliwack,V2R 1H2,604-858-0148,,
Emerald Hills Montessori,1501 Bramble Lane,Coquitlam,V3E 2S7,604-942-5430,,
Emerald Hills Montessori School Age Care,2875 Panorama Dr,Coquitlam,V3E 2S7,604-942-5430,,
Kinder Kampus - Old Orchard Hall,646 Bentley Rd,Port Moody,V3H 3A3,604-417-9109,,
Evershine Childcare Centre,6939 127A St,Surrey,V3W 0V4,604-543-8686,,
Creation Station Day Care,5545 Ladner Trunk Rd,Delta,V4K 1X1,604-940-8077,,
Ranch Park Kids Place Inc.,2701 Spuraway Ave,Coquitlam,V3C 2C4,604-942-6474,,
Wesbrook Preschool,4405 8Th Ave W,Vancouver,V6R 2A3,604-816-4512,,
Cornerstone Christian Academy Preschool,7890 No. 5 Rd,Richmond,V6Y 2V2,604-303-9181,,
Creative Kids Childcare Learning Centre Inc,1144 Confederation Dr,Port Coquitlam,V3C 5Y6,604-941-6745,,
Sunflower Montessori,21150  85Th Ave,Langley,V1M 2M4,604-513-0070,,
Guildford Gardens Daycare Inc,14921 107A Ave,Surrey,V3R 1V3,604-339-7052,,
Happy Learning Child Care Centre,2201 Eighth Ave,New Westminster,V3M 2T9,604-553-4611,,
Semiahmoo Junior Kindergarten,14633 16 Ave,Surrey,V4A 1R4,778-951-3320,,
Glenayre Montessori Daycare,495 Glencoe St,Port Moody,V3H 1G6,604-937-0084,,
Maywood Neighbourhood Care,4567 Imperial St,Burnaby,V5J 1B7,604-431-0484,,
Stride Avenue Neighbourhood Care,7014 Stride Ave,Burnaby,V3N 1T4,604-527-0444,,
Treasure Island School Age Care,3883 Triumph St,Burnaby,V5C 1Y6,604-723-1837,,
Hamilton Out Of School Care,5140 Smith Dr,Richmond,V6V 2W5,604-204-8655,,
Friends And Neighbours Together,155 Finnigan St,Coquitlam,V3K 5J2,604-526-3223,,
The Learning Experience Children's Centre Ltd.,3862 Wellington St,Port Coquitlam,V3B 3Z4,604-942-5008,,
Kidzone Learning Centre South Ltd,735 Gilchrist Dr,Delta,V4M 3L4,778-701-8952,,
Smiley Faces Childcare Centre #3,204-10855 80 Ave,Delta,V4C 1W4,604-543-1488,,
St. Joseph's Church Preschool & Out Of School Care Program,20244  32Nd Ave,Langley,V2Z 2E1,604-530-4288,,
Junior Citizens Care Center,999 Noons Creek Dr,Port Moody,V3H 4N3,236-838-3404,,
Bright Beginnings Infant / Child Care,1393 Austin Ave,Coquitlam,V3K 3P6,236-888-2764,,
Little Mountain Out Of School Care (Lmosc),1300 29 Ave E,Vancouver,V5V 2T3,604-879-7104,,
Future 4 Nations Aboriginal Headstart Program - Room 146,146-34110 Lougheed Hwy,Mission,V2V 4L1,604-820-4567,,
Beyond Care,8350 11Th Ave,Burnaby,V3N 2P4,604-521-8748,,
Leigh School Daycare,1230 Soball St,Coquitlam,V3B 3H7,778-881-6475,,
Lynnmour Creative Child Care Centre,1251 Lillooet Rd,North Vancouver,V7J 3H7,604-980-1212,,
Harbour View Childcare Inc,960 Lillian St,Coquitlam,V3J 5C7,604-931-3033,,
Mountain View Group Daycare 7,740 Smith Ave,Coquitlam,V3J 4E7,604-937-3020,,
The Biggest Little Preschool & Childcare Centre,14853 60 Ave,Surrey,V3S 1R8,604-583-0635,,
Club K.I.D.S. Central - Room 129,7466 Welton St,Mission,V2V 6L4,604-820-5360,,
Club K.I.D.S. Windebank,33570 11Th Ave,Mission,V2V 6Z2,604-820-5360,,
Club Kids Hillside,33621 Best Ave,Mission,V2V 5Z3,604-820-5360,,
Club K.I.D.S Morrison,32611 mcrae Ave,Mission,V2V 2L8,604-820-5360,,
Fraserview Montessori Preschool And Kindergarten,1992 Prestwick Dr,Vancouver,V5P 2E9,604-324-4324,,
Sun And Sand Learning Centre Ltd,1-12468 82 Ave,Surrey,V3W 3E9,604-760-1495,,
Cefa Early Learning Brentwood,Lm100-4664 Lougheed Hwy,Burnaby,V5C 5T5,604-565-3333,,
Qe Clubhouse & Kids Borough,833 Salter St,New Westminster,V3M 6G8,778-237-4383,,
Daycare 7,1342 Canary Pl,Coquitlam,V3E 0E1,778-710-1717,,
White Rock Montessori Group Care,14560 North Bluff Rd,White Rock,V4B 3C9,604-355-4654,,
Early Learning Childcare Centre,103-2764 Barnet Hwy,Coquitlam,V3B 1B9,604-475-4800,,
Apple Tree Ryan Child Care,8520 Ryan Rd,Richmond,V7A 2E6,604-726-0301,,
Wonder World Play School,Unit B 11767 225 St,Maple Ridge,V2X 6E6,604-779-2273,,
Petits Genies Academy Ltd,101-4181 Hastings St,Burnaby,V5C 2J3,604-788-0901,,
Kidz R Kidz,101-3007 Glen Dr,Coquitlam,V3B 2P7,604-474-2595,,
Sing And Smile Child Care Ltd,"101,103,104,105 12057 82 Ave",Surrey,V3V 1E8,778-591-5999,,
Blueberry Field Child Care Inc. - 30 Months To School Age,3720 Broadway St,Richmond,V7E 4Y8,778-708-1751,,
Academics Prekindergarten Westwood Inc,501-1123 Westwood St,Coquitlam,V3B 0M1,604-474-2662,,
Brainbox Montessori Learning Academy,20700 56 Ave,Langley,V3A 7R8,778-957-6588,,
Sweet Bambini Montessori Ltd,15566 110 Ave,Surrey,V3R 0W7,778-688-3126,,
Starlight Child Care Centre,8547 11Th Ave,Burnaby,V3N 2P6,778-389-9669,,
Fela Play And Learn Childcare,13545 64A Ave,Surrey,V3W 9H6,604-599-5853,,
Peach Blossom Childcare Centre,1169 21St St W,North Vancouver,V7P 2C7,604-990-1261,,
Child Connect Early Learning,1305 Taylor Way,West Vancouver,V7T 2Y7,604-281-4410,,
Creative Kids Learning Centers - Willowbrook,19543 Fraser Hwy,Surrey,V3S 6K7,604-560-5002,,
Club K.I.D.S. West Heights Room 217,32065 Van Velzen Ave,Mission,V2V 2G6,604-820-5360,,
Global Montessori Tsawwassen Childcare,402 English Bluff Rd,Delta,V4M 2N2,604-562-5588,,
Polka Dot Fine Art & Education,203-800 mcbride Blvd,New Westminster,V3L 2B8,604-343-6644,,
Baker's Corner Preschool,1563 Regan Ave,Coquitlam,V3J 3B7,604-461-5848,,
Top Drawer Daycares Inc.,1044 St. Georges Ave,North Vancouver,V7L 3H6,604-828-2126,,
Academics Prekindergarten Royal City,300-628 Sixth Ave,New Westminster,V3M 6Z1,778-398-4769,,
Happy Bird Daycare,7545 18Th Ave,Burnaby,V3N 1J1,778-903-4237,,
Nurturing Hearts Montessori Daycare - Newlands,21025 48 Ave,Langley,V3A 3M3,604-533-1805,,
Little Pilots Inclusive Program,3688 Cessna Dr,Richmond,V7B 1C7,604-207-1980,,
Hyland Creek Childcare,14368 66 Ave,Surrey,V3W 2B3,604-970-5188,,
New Leaf Learning And Childcare Centre Inc.,33442 South Fraser Way,Abbotsford,V2S 2B5,604-613-1919,,
Royal Academy,425 Sixth St,New Westminster,V3L 3B1,778-388-1700,,
Octopus Academy Surrey,13639 104 Ave,Surrey,V3T 1W3,604-496-2818,,
Poco Village Early Learning Centre Ltd,2879 Shaughnessy St,Port Coquitlam,V3C 3H1,604-551-9210,,
Little Mountain Child Care Center,9601 Hamilton St,Chilliwack,V2P 3X4,604-997-8446,,
Junior Scholars - Panorama,103-14225 57 Ave,Surrey,V3X 0H6,604-767-0858,,
Caterpillar Fun House #2,11601 82 Ave,Delta,V4C 2C3,604-710-8451,,
Lingo Childcare Centre,5660 Westminster Hwy,Richmond,V7C 1C4,604-727-6758,,
Baby Smart Infant And Toddler Child Care Centre,1530 Como Lake Ave,Coquitlam,V3J 3P6,604-306-6698,,
Reach Development Preschool South Delta,5050 47 Ave,Delta,V4K 0C8,604-946-6622,,
Kids At Play Daycare,5 Deerwood Pl,Port Moody,V3H 4N2,604-374-7484,,
Meaningful Minds,10-12350 Harris Rd,Pitt Meadows,V3Y 0C5,604-460-8772,,
Jellybean Park,138B-19653 Willowbrook Dr,Langley,V2Y 1A5,604-539-9898,,
Sandcastle Park Children's Centre,7-3060 Chatham St,Richmond,V7E 6L9,604-274-8380,,
Khalsa Child Care Centre,26345 62 Ave,Langley,V4W 1L8,604-594-0553,,
Connections Kids Club - Tait,10071 Finlayson Dr,Richmond,V6X 3X4,604-271-7600,,
Brainbox Montessori Learning Academy,20688 56 Ave,Langley,V3A 3Z1,778-957-6588,,
Imago Dei Child Care,11571 Daniels Rd,Richmond,V6X 1M7,778-855-2273,,
Richmonds Best After School Program,150 11780 Hammersmith Way,Richmond,V7A 5E9,604-241-7624,,
Riverside Childcare,140-1110 Ewen Ave,New Westminster,V3M 5E4,604-354-1180,,
Jessie's Tots Educare Centre A,4871 Highlawn Dr,Burnaby,V5C 3T2,778-928-9995,,
After School Warriors Child Care Inc,22712 Dewdney Trunk Rd,Maple Ridge,V2X 3K2,604-477-1717,,
Little Cedar School Age Care - Commercial Street,3472 Commercial St,Vancouver,V5N 4E9,604-872-3303,,
Ask Or Imagine Christian Children's Center,6344 Sperling Ave,Burnaby,V5E 2V4,604-970-2625,,
"Service De Garde ""Le Petit Jardin""",2882 4Th Ave E,Vancouver,V5M 1K8,778-877-3030,,
Flying Kites Child Care Center - Wix Brown,23851 24Th Ave,Langley,V2Z 3A3,604-308-1446,,
Taniere Des Lynx,1618 Patricia Ave,Port Coquitlam,V3B 4A8,236-339-4927,,
Abc Academy-Children's Learning Center,37 8Th Ave,New Westminster,V3L 1X6,604-805-2402,,
Abc Academy - Children's Learning Center Ltd,160-401 Eighth St,New Westminster,V3M 1S7,604-805-2402,,
Noisy Monkeys French Immersion & Language Academy,110  9093 King George Blvd,Surrey,V3V 5V7,604-503-5033,,
Glowing Hearts Daycare,705 Delestre Ave,Coquitlam,V3K 2G1,604-936-9890,,
Highland Montessori Child Care,3550 Highland Dr,Coquitlam,V3E 0K2,778-998-8976,,
The Grove,3592 Mountain Highway,North Vancouver,V7K 0A2,604-984-9722,,
The Grove,3592 Mountain Hwy,North Vancouver,V7K 0A2,604-984-9722,,
The Learning Ladder Children's Centre,5-20468 Lougheed Hwy,Maple Ridge,V2X 2P8,604-460-0601,,
Citadel Childcare Centre,779 Citadel Dr,Port Coquitlam,V3C 6E4,778-859-3835,,
Play-N-Grow Childcare Centre Inc #4,13941 94A Ave,Surrey,V3V 1N3,604-782-3546,,
Mt Pleasant Neighbourhood House Kid's Peak After School Care,800 Broadway E,Vancouver,V5T 1Y1,604-879-8208,,
Fantastic Kidz Childcare,7233 Dow Ave,Burnaby,V5J 3X3,778-386-8889,,
Broadway Bilingual Daycare,6644 Broadway,Burnaby,V5B 2Y5,604-444-4706,,
Brightstart Children's Academy,101-17610 65A Ave,Surrey,V3S 5N4,416-938-8024,,
1St Step Montessori Inc - Sunbury Hall,10409 Dunlop Rd,Delta,V4C 2L1,604-417-3290,,
Curious Kids Children's Center,27233 29A Ave,Aldergrove,V4W 3J7,604-857-0194,,
Gamesters Fundamentals Inc,1189 Rochester Ave,Coquitlam,V3K 2X3,778-227-4335,,
Goodwin Academy,3- 10468 Whalley Blvd,Surrey,V3T 4H5,604-588-2074,,
Hundred Languages Childcare Inc,110-12409 Harris Rd,Pitt Meadows,V3Y 0E7,604-457-1545,,
Brockton School Junior Kindergarten,3467 Duval Rd,North Vancouver,V7J 3E8,604-929-9201,,
Fundamentals Childcare Centre Inc,12038 248 St,Maple Ridge,V4R 1J1,604-380-2455,,
Springtree Montessori School,6693 Brantford Ave,Burnaby,V5E 2R9,778-862-9399,,
Kiddyland Multiple Intelligence Children Centre,12440 Woodhead Rd,Richmond,V6V 1G3,604-668-6439,,
Cream Of The Crop Enriched Learning & Childcare Centre Ltd.,1-9718 Menzies St,Chilliwack,V2P 5Z7,604-402-2273,,
Joyful Kids Learning Centre,7600 No. 4 Rd,Richmond,V6Y 2T5,604-652-7272,,
Life Stars Child Care Corp.,1539 Angelo Ave,Port Coquitlam,V3B 1C8,604-726-9430,,
Strongsteps Children's Learning Centre,200-8912 202 St,Langley,V1M 4A7,778-960-2273,,
Happy Hearts Childcare Centre Inc,22315 Mcintosh Ave,Maple Ridge,V2X 3C2,604-479-2273,,
